freq,psd_x,psd_y,psd_z,psd_xyz,zv(61.0),mzv(62.6),ei(74.8),2hump_ei(93.2),3hump_ei(112.2)
123.8,2.226e+03,4.919e+02,2.374e+02,2.956e+03,0.778,0.273,0.479,0.032,0.016
125.3,2.201e+03,5.003e+02,2.426e+02,2.943e+03,0.774,0.295,0.496,0.036,0.014
126.9,2.161e+03,5.069e+02,2.448e+02,2.912e+03,0.768,0.318,0.512,0.040,0.013
128.4,2.089e+03,5.105e+02,2.442e+02,2.844e+03,0.762,0.340,0.527,0.045,0.012
130.0,2.000e+03,5.111e+02,2.447e+02,2.756e+03,0.754,0.361,0.541,0.054,0.012
131.5,1.736e+03,4.829e+02,2.255e+02,2.445e+03,0.745,0.383,0.554,0.067,0.012
133.0,9.484e+02,2.847e+02,1.318e+02,1.365e+03,0.735,0.403,0.566,0.081,0.012
134.6,1.161e+02,4.231e+01,3.036e+01,1.888e+02,0.723,0.423,0.577,0.095,0.013
136.1,3.475e+01,1.711e+01,2.112e+01,7.299e+01,0.711,0.443,0.586,0.110,0.014
137.7,3.471e+01,1.598e+01,2.090e+01,7.158e+01,0.698,0.462,0.594,0.125,0.015
139.2,3.280e+01,1.397e+01,2.082e+01,6.758e+01,0.683,0.480,0.601,0.141,0.017
140.8,3.188e+01,1.412e+01,2.300e+01,6.900e+01,0.668,0.497,0.606,0.158,0.020
142.3,3.313e+01,1.550e+01,2.485e+01,7.348e+01,0.652,0.513,0.610,0.174,0.022
143.9,4.023e+01,1.962e+01,2.712e+01,8.698e+01,0.635,0.528,0.613,0.191,0.023
145.4,4.953e+01,2.681e+01,2.803e+01,1.044e+02,0.617,0.542,0.614,0.208,0.024
147.0,5.128e+01,3.374e+01,2.772e+01,1.127e+02,0.598,0.556,0.614,0.226,0.025
148.5,4.881e+01,3.494e+01,2.179e+01,1.055e+02,0.578,0.568,0.612,0.243,0.025
150.1,4.831e+01,2.914e+01,1.371e+01,9.116e+01,0.558,0.579,0.610,0.260,0.024
151.6,4.786e+01,2.511e+01,1.431e+01,8.728e+01,0.537,0.589,0.606,0.277,0.023
153.2,6.299e+01,3.010e+01,1.898e+01,1.121e+02,0.516,0.598,0.600,0.294,0.023
154.7,8.322e+01,3.782e+01,2.098e+01,1.420e+02,0.493,0.605,0.594,0.311,0.024
156.3,7.531e+01,3.878e+01,1.601e+01,1.301e+02,0.471,0.612,0.586,0.327,0.025
157.8,6.620e+01,3.670e+01,1.329e+01,1.162e+02,0.447,0.617,0.577,0.343,0.025
159.3,6.866e+01,3.743e+01,1.169e+01,1.178e+02,0.424,0.621,0.566,0.358,0.027
160.9,7.206e+01,4.054e+01,1.050e+01,1.231e+02,0.400,0.624,0.555,0.372,0.028
162.4,7.858e+01,4.733e+01,1.316e+01,1.391e+02,0.379,0.625,0.543,0.386,0.030
164.0,9.249e+01,5.935e+01,1.730e+01,1.691e+02,0.366,0.626,0.530,0.399,0.032
165.5,1.197e+02,7.712e+01,2.288e+01,2.197e+02,0.354,0.625,0.515,0.411,0.035
167.1,1.494e+02,9.584e+01,2.901e+01,2.742e+02,0.342,0.622,0.500,0.423,0.038
168.6,1.627e+02,1.076e+02,3.245e+01,3.027e+02,0.332,0.619,0.484,0.433,0.042
170.2,1.606e+02,1.105e+02,3.198e+01,3.031e+02,0.322,0.615,0.468,0.443,0.050
171.7,1.689e+02,1.216e+02,3.535e+01,3.259e+02,0.313,0.609,0.451,0.451,0.060
173.3,1.983e+02,1.446e+02,4.449e+01,3.873e+02,0.305,0.602,0.433,0.458,0.071
174.8,2.183e+02,1.679e+02,5.268e+01,4.390e+02,0.298,0.594,0.415,0.465,0.083
176.4,2.173e+02,1.831e+02,5.757e+01,4.580e+02,0.292,0.585,0.396,0.470,0.095
177.9,1.987e+02,1.835e+02,5.535e+01,4.376e+02,0.287,0.575,0.377,0.474,0.107
179.5,1.801e+02,1.748e+02,5.219e+01,4.071e+02,0.284,0.564,0.358,0.477,0.120
181.0,1.554e+02,1.597e+02,5.170e+01,3.668e+02,0.283,0.552,0.338,0.478,0.133
182.6,1.271e+02,1.406e+02,4.821e+01,3.159e+02,0.282,0.540,0.319,0.479,0.147
184.1,1.109e+02,1.220e+02,4.411e+01,2.770e+02,0.283,0.526,0.299,0.478,0.160
185.6,9.331e+01,1.035e+02,4.218e+01,2.390e+02,0.285,0.512,0.280,0.477,0.174
187.2,8.659e+01,1.046e+02,3.994e+01,2.312e+02,0.289,0.497,0.261,0.474,0.188
188.7,8.690e+01,1.049e+02,3.902e+01,2.308e+02,0.293,0.481,0.242,0.470,0.202
190.3,9.336e+01,1.085e+02,3.905e+01,2.409e+02,0.299,0.464,0.223,0.465,0.215
191.8,1.034e+02,1.081e+02,3.945e+01,2.509e+02,0.305,0.447,0.205,0.459,0.229
193.4,1.219e+02,1.026e+02,4.148e+01,2.660e+02,0.312,0.430,0.187,0.452,0.242
194.9,1.543e+02,1.052e+02,4.852e+01,3.081e+02,0.320,0.412,0.170,0.444,0.255
196.5,2.053e+02,1.231e+02,6.837e+01,3.968e+02,0.329,0.394,0.160,0.435,0.267
198.0,2.627e+02,1.460e+02,9.389e+01,5.026e+02,0.337,0.376,0.152,0.425,0.279
199.6,3.099e+02,1.598e+02,1.131e+02,5.829e+02,0.346,0.357,0.145,0.414,0.290
