freq,psd_x,psd_y,psd_z,psd_xyz
49.7,4.325e+04,6.913e+04,1.154e+03,1.135e+05
51.3,6.208e+04,4.489e+04,1.691e+03,1.087e+05
52.9,8.112e+04,2.836e+04,2.284e+03,1.118e+05
54.4,1.050e+05,2.504e+04,3.928e+03,1.340e+05
56.0,1.262e+05,3.649e+04,7.415e+03,1.701e+05
57.5,1.437e+05,6.098e+04,1.585e+04,2.205e+05
59.1,1.689e+05,1.013e+05,2.658e+04,2.967e+05
60.6,2.093e+05,1.662e+05,3.168e+04,4.071e+05
62.2,2.303e+05,2.322e+05,3.959e+04,5.021e+05
63.7,2.002e+05,2.513e+05,4.232e+04,4.938e+05
65.3,1.531e+05,2.289e+05,3.467e+04,4.167e+05
