freq,psd_x,psd_y,psd_z,psd_xyz
150.9,3.352e+03,4.364e+03,1.085e+04,1.857e+04
152.5,4.171e+03,5.433e+03,1.315e+04,2.276e+04
154.0,5.202e+03,7.102e+03,1.554e+04,2.784e+04
155.6,6.331e+03,8.547e+03,1.735e+04,3.222e+04
157.1,7.341e+03,9.765e+03,1.863e+04,3.574e+04
158.7,7.905e+03,1.116e+04,1.894e+04,3.800e+04
160.2,8.298e+03,1.270e+04,1.845e+04,3.944e+04
161.8,8.560e+03,1.426e+04,1.818e+04,4.100e+04
163.4,8.949e+03,1.600e+04,1.886e+04,4.381e+04
164.9,9.279e+03,1.778e+04,1.924e+04,4.630e+04
166.5,9.790e+03,1.997e+04,1.966e+04,4.942e+04
168.0,9.949e+03,2.350e+04,1.874e+04,5.218e+04
169.6,9.677e+03,2.651e+04,1.797e+04,5.416e+04
171.1,9.868e+03,2.904e+04,1.936e+04,5.827e+04
172.7,9.994e+03,2.904e+04,2.132e+04,6.036e+04
174.2,1.074e+04,2.769e+04,2.498e+04,6.341e+04
175.8,1.301e+04,2.981e+04,2.867e+04,7.148e+04
177.4,1.409e+04,2.869e+04,2.893e+04,7.171e+04
178.9,1.481e+04,2.883e+04,3.089e+04,7.453e+04
180.5,1.845e+04,2.957e+04,4.049e+04,8.851e+04
182.0,2.413e+04,3.032e+04,5.646e+04,1.109e+05
183.6,2.843e+04,2.833e+04,7.515e+04,1.319e+05
185.1,3.111e+04,2.090e+04,8.969e+04,1.417e+05
186.7,2.970e+04,1.372e+04,9.365e+04,1.371e+05
188.2,2.986e+04,1.685e+04,1.007e+05,1.474e+05
189.8,3.548e+04,2.929e+04,1.199e+05,1.847e+05
191.4,4.426e+04,4.500e+04,1.467e+05,2.359e+05
192.9,4.257e+04,4.557e+04,1.413e+05,2.294e+05
194.5,3.368e+04,3.061e+04,1.176e+05,1.819e+05
196.0,3.255e+04,2.060e+04,1.175e+05,1.707e+05
197.6,3.224e+04,1.586e+04,1.136e+05,1.617e+05
199.1,4.338e+04,2.210e+04,1.405e+05,2.060e+05
