freq,psd_x,psd_y,psd_z,psd_xyz
93.3,1.133e+03,6.059e+03,2.753e+04,3.472e+04
94.8,1.437e+03,1.117e+04,4.239e+04,5.500e+04
96.4,3.100e+03,1.646e+04,5.861e+04,7.817e+04
97.9,4.848e+03,2.422e+04,5.982e+04,8.889e+04
99.5,5.517e+03,3.385e+04,5.714e+04,9.651e+04
101.0,5.441e+03,3.761e+04,5.140e+04,9.445e+04
102.6,5.516e+03,3.666e+04,4.625e+04,8.843e+04
104.1,6.142e+03,3.488e+04,4.299e+04,8.401e+04
105.7,6.891e+03,3.325e+04,4.021e+04,8.035e+04
107.3,7.869e+03,3.344e+04,3.793e+04,7.923e+04
108.8,8.767e+03,3.445e+04,3.513e+04,7.834e+04
110.4,8.839e+03,3.397e+04,3.144e+04,7.425e+04
111.9,7.916e+03,2.978e+04,2.745e+04,6.515e+04
113.5,6.887e+03,2.535e+04,2.415e+04,5.639e+04
115.0,6.931e+03,2.634e+04,2.182e+04,5.509e+04
116.6,9.254e+03,3.063e+04,1.975e+04,5.964e+04
118.1,1.641e+04,3.696e+04,1.920e+04,7.258e+04
119.7,2.342e+04,4.335e+04,1.747e+04,8.425e+04
121.2,2.575e+04,4.834e+04,1.511e+04,8.921e+04
122.8,2.644e+04,5.198e+04,1.351e+04,9.194e+04
124.4,2.708e+04,5.613e+04,1.241e+04,9.562e+04
125.9,2.710e+04,5.921e+04,1.208e+04,9.839e+04
127.5,2.657e+04,6.282e+04,1.298e+04,1.024e+05
129.0,2.698e+04,6.798e+04,1.559e+04,1.105e+05
130.6,2.708e+04,6.769e+04,1.703e+04,1.118e+05
132.1,2.198e+04,5.591e+04,1.439e+04,9.229e+04
133.7,7.151e+03,1.981e+04,6.370e+03,3.333e+04
135.2,7.682e+02,3.711e+03,3.666e+03,8.145e+03
136.8,8.895e+02,3.524e+03,5.164e+03,9.578e+03
138.3,1.482e+03,4.479e+03,7.527e+03,1.349e+04
139.9,2.268e+03,5.875e+03,1.078e+04,1.892e+04
141.5,3.436e+03,7.837e+03,1.491e+04,2.619e+04
143.0,4.324e+03,9.586e+03,1.752e+04,3.143e+04
144.6,5.003e+03,1.037e+04,1.906e+04,3.443e+04
146.1,5.968e+03,1.082e+04,1.928e+04,3.606e+04
147.7,6.263e+03,1.206e+04,1.925e+04,3.757e+04
149.2,6.693e+03,1.305e+04,2.101e+04,4.075e+04
150.8,7.232e+03,1.266e+04,2.242e+04,4.231e+04
152.3,8.164e+03,1.307e+04,2.397e+04,4.520e+04
153.9,9.217e+03,1.440e+04,2.556e+04,4.918e+04
155.4,1.043e+04,1.641e+04,2.772e+04,5.456e+04
157.0,1.190e+04,1.892e+04,3.007e+04,6.088e+04
158.6,1.242e+04,2.044e+04,3.026e+04,6.313e+04
160.1,1.208e+04,2.089e+04,2.845e+04,6.142e+04
161.7,1.257e+04,2.340e+04,2.903e+04,6.499e+04
163.2,1.277e+04,2.572e+04,2.915e+04,6.763e+04
164.8,1.246e+04,2.700e+04,2.903e+04,6.848e+04
166.3,1.166e+04,2.937e+04,2.785e+04,6.888e+04
167.9,1.049e+04,3.056e+04,2.533e+04,6.638e+04
169.4,9.476e+03,2.898e+04,2.486e+04,6.331e+04
171.0,1.030e+04,2.673e+04,2.765e+04,6.468e+04
172.5,1.268e+04,2.701e+04,3.537e+04,7.506e+04
174.1,1.585e+04,2.857e+04,4.711e+04,9.154e+04
175.6,1.643e+04,2.307e+04,5.267e+04,9.216e+04
177.2,1.656e+04,2.077e+04,5.716e+04,9.449e+04
178.8,1.665e+04,1.936e+04,6.050e+04,9.651e+04
180.3,1.616e+04,1.824e+04,6.439e+04,9.878e+04
181.9,1.701e+04,1.761e+04,6.874e+04,1.034e+05
183.4,1.966e+04,1.900e+04,7.442e+04,1.131e+05
185.0,2.323e+04,1.933e+04,8.343e+04,1.260e+05
186.5,2.833e+04,1.975e+04,9.452e+04,1.426e+05
188.1,3.342e+04,1.994e+04,1.046e+05,1.579e+05
189.6,3.813e+04,1.999e+04,1.148e+05,1.729e+05
191.2,4.472e+04,2.146e+04,1.295e+05,1.957e+05
192.7,5.229e+04,2.326e+04,1.431e+05,2.187e+05
194.3,5.754e+04,2.484e+04,1.513e+05,2.337e+05
195.9,6.524e+04,2.742e+04,1.664e+05,2.591e+05
197.4,7.421e+04,2.858e+04,1.849e+05,2.877e+05
199.0,9.541e+04,3.392e+04,2.314e+05,3.607e+05
